"cohortId","cohortName","atlasId","description","createdDate","modifiedDate","librarian","cohortNameFormatted","lastModifiedBy","cohortNameLong","status","addedVersion","logicDescription","hashTag","contributors","contributorOrcIds","contributorOrganizations","peerReviewers","peerReviewerOrcIds","recommendedReferentConceptIds","ohdsiForumPost","replaces","notes","cohortNameAtlas","recommendedEraPersistenceDurations","recommendedEraCollapseDurations","recommendSubsetOperators","id","name"
679,"[P][R] Takotsubo cardiomyopathy",679,"cohortNameLong : Takotsubo cardiomyopathy;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Takotsubo cardiomyopathy. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 40479589;
ohdsiForumPost : ;
replaces : ;
","2023-06-25","2023-09-19","rao@ohdsi.org","Takotsubo cardiomyopathy",,"Takotsubo cardiomyopathy","Pending peer review","","all events of Takotsubo cardiomyopathy. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","40479589","","",,,,,,679,679
680,"[P][R] Mantle cell lymphoma",680,"cohortNameLong : Mantle cell lymphoma;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Mantle cell lymphoma. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 40481901;
ohdsiForumPost : ;
replaces : ;
","2023-06-25","2023-09-19","rao@ohdsi.org","Mantle cell lymphoma",,"Mantle cell lymphoma","Pending peer review","","all events of Mantle cell lymphoma. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","40481901","","",,,,,,680,680
681,"[P][R] Malignant neoplasm of anorectum",681,"cohortNameLong : Malignant neoplasm of anorectum;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Malignant neoplasm of anorectum. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 74582, 40481902;
ohdsiForumPost : ;
replaces : ;
","2023-06-25","2023-09-19","rao@ohdsi.org","Malignant neoplasm of anorectum",,"Malignant neoplasm of anorectum","Pending peer review","","all events of Malignant neoplasm of anorectum. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","74582, 40481902","","",,,,,,681,681
682,"[P][R] Marginal zone lymphoma",682,"cohortNameLong : Marginal zone lymphoma;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Marginal zone lymphoma. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 40490918;
ohdsiForumPost : ;
replaces : ;
","2023-06-25","2023-09-19","rao@ohdsi.org","Marginal zone lymphoma",,"Marginal zone lymphoma","Pending peer review","","all events of Marginal zone lymphoma. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","40490918","","",,,,,,682,682
683,"[P][R] Antineutrophil cytoplasmic antibody positive vasculitis",683,"cohortNameLong : Antineutrophil cytoplasmic antibody positive vasculitis;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Antineutrophil cytoplasmic antibody positive vasculitis. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 313223, 42535714;
ohdsiForumPost : ;
replaces : ;
","2023-06-25","2023-09-19","rao@ohdsi.org","Antineutrophil cytoplasmic antibody positive vasculitis",,"Antineutrophil cytoplasmic antibody positive vasculitis","Pending peer review","","all events of Antineutrophil cytoplasmic antibody positive vasculitis. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","313223, 42535714","","",,,,,,683,683
684,"[P][R] Sensory disorder of smell and/or taste",684,"cohortNameLong : Sensory disorder of smell and/or taste;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Sensory disorder of smell and/or taste. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 43530714;
ohdsiForumPost : ;
replaces : ;
","2023-06-25","2023-09-19","rao@ohdsi.org","Sensory disorder of smell and/or taste",,"Sensory disorder of smell and/or taste","Pending peer review","","all events of Sensory disorder of smell and/or taste. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","43530714","","",,,,,,684,684
685,"[P][R] Cardiac arrhythmia",685,"cohortNameLong : Cardiac arrhythmia;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Cardiac arrhythmia. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 313217, 44784217;
ohdsiForumPost : ;
replaces : ;
","2023-06-25","2023-09-19","rao@ohdsi.org","Cardiac arrhythmia",,"Cardiac arrhythmia","Pending peer review","","all events of Cardiac arrhythmia. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","313217, 44784217","","",,,,,,685,685
686,"[P][R] Fracture of bone of hip region",686,"cohortNameLong : Fracture of bone of hip region;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Fracture of bone of hip region. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 434500, 45763653;
ohdsiForumPost : ;
replaces : ;
","2023-06-25","2023-09-19","rao@ohdsi.org","Fracture of bone of hip region",,"Fracture of bone of hip region","Pending peer review","","all events of Fracture of bone of hip region. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","434500, 45763653","","",,,,,,686,686
687,"[P][R] Chronic kidney disease",687,"cohortNameLong : Chronic kidney disease;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Chronic kidney disease. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 193782, 46271022;
ohdsiForumPost : ;
replaces : ;
","2023-06-25","2023-09-19","rao@ohdsi.org","Chronic kidney disease",,"Chronic kidney disease","Pending peer review","","all events of Chronic kidney disease. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","193782, 46271022","","",,,,,,687,687
688,"[P][R] Death",688,"cohortNameLong : Death;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Suicide. Persons exit on cohort end date;
hashTag : #Referent, #Observation;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 440925;
ohdsiForumPost : ;
replaces : ;
","2023-06-25","2023-09-20","rao@ohdsi.org","Death",,"Death","Pending peer review","","all events of Suicide. Persons exit on cohort end date","#Referent, #Observation","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","440925","","",,,,,,688,688
689,"[P][R] Newborn death",689,"cohortNameLong : Newborn death;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Newborn death. Persons exit on cohort end date;
hashTag : #Referent, #Observation;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 4079843;
ohdsiForumPost : ;
replaces : ;
","2023-06-25","2023-09-19","rao@ohdsi.org","Newborn death",,"Newborn death","Pending peer review","","all events of Newborn death. Persons exit on cohort end date","#Referent, #Observation","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","4079843","","",,,,,,689,689
690,"[P][R] Suicide",690,"cohortNameLong : Suicide;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Death. Persons exit on cohort end date;
hashTag : #Referent, #Observation;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 4306655;
ohdsiForumPost : ;
replaces : ;
","2023-06-25","2023-09-19","rao@ohdsi.org","Suicide",,"Suicide","Pending peer review","","all events of Death. Persons exit on cohort end date","#Referent, #Observation","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","4306655","","",,,,,,690,690
691,"Transverse myelitis or symptoms indexed on symptoms or diagnosis",691,"cohortNameLong : Transverse myelitis or symptoms indexed on symptoms or diagnosis;
librarian : rao@ohdsi.org;
status : Accepted;
addedVersion : 3.9.0;
logicDescription : events with a diagnosis of transverse myelitis indexed on diagnosis of transverse myelitis, related spinal disease or symptoms of transverse myelitis, followed by a diagnosis of transverse myelitis within 30 days. Symptoms of Transverse Myelitis included asthenia, muscle weakness, myelitis, paresthesia;
hashTag : #Accepted, #Level2;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : Evan Minty;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 79908, 139803, 443904;
ohdsiForumPost : ;
replaces : ;
","2023-06-26","2023-09-19","rao@ohdsi.org","Transverse myelitis or symptoms indexed on symptoms or diagnosis",,"Transverse myelitis or symptoms indexed on symptoms or diagnosis","Accepted","3.9.0","events with a diagnosis of transverse myelitis indexed on diagnosis of transverse myelitis, related spinal disease or symptoms of transverse myelitis, followed by a diagnosis of transverse myelitis within 30 days. Symptoms of Transverse Myelitis included asthenia, muscle weakness, myelitis, paresthesia","#Accepted, #Level2","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","Evan Minty","","79908, 139803, 443904","","",,,,,,691,691
692,"Transverse myelitis indexed on diagnosis",692,"cohortNameLong : Transverse myelitis indexed on diagnosis;
librarian : rao@ohdsi.org;
status : Accepted;
addedVersion : 3.7.0;
logicDescription : events with a diagnosis of transverse myelitis indexed on diagnosis of transverse myelitis. Events have a 365 days washout period. The events persist for 1 day. Symptoms of Transverse Myelitis included asthenia, muscle weakness, myelitis, paresthesia;
hashTag : #Accepted, #Level2;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : Evan Minty;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 139803, 443904;
ohdsiForumPost : ;
replaces : ;
","2023-06-26","2023-09-19","rao@ohdsi.org","Transverse myelitis indexed on diagnosis",,"Transverse myelitis indexed on diagnosis","Accepted","3.7.0","events with a diagnosis of transverse myelitis indexed on diagnosis of transverse myelitis. Events have a 365 days washout period. The events persist for 1 day. Symptoms of Transverse Myelitis included asthenia, muscle weakness, myelitis, paresthesia","#Accepted, #Level2","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","Evan Minty","","139803, 443904","","",,,,,,692,692
693,"Acquired Neutropenia or unspecified leukopenia",693,"cohortNameLong : Acquired Neutropenia or unspecified leukopenia;
librarian : rao@ohdsi.org;
status : Accepted;
addedVersion : 3.11.0;
logicDescription : all events of neutropenia indexed on diagnosis or lab results with no congenital or genetic neutropenia;
hashTag : #PhenotypePhebruary, #2023, #Neutropenia;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : Anna Ostropolets;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 435224;
ohdsiForumPost : ;
replaces : ;
","2023-06-26","2023-09-19","rao@ohdsi.org","Acquired Neutropenia or unspecified leukopenia",,"Acquired Neutropenia or unspecified leukopenia","Accepted","3.11.0","all events of neutropenia indexed on diagnosis or lab results with no congenital or genetic neutropenia","#PhenotypePhebruary, #2023, #Neutropenia","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","Anna Ostropolets","","435224","","",,,,,,693,693
694,"Appendicitis during Inpatient visit",694,"cohortNameLong : Appendicitis during Inpatient visit;
librarian : rao@ohdsi.org;
status : Accepted;
addedVersion : 3.11.0;
logicDescription : events of appendicitis with an inpatient or ER visit with no events in 365 days clean window;
hashTag : #PhenotypePhebruary, #2023;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : Azza Shoaibi;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 440448, 441604;
ohdsiForumPost : ;
replaces : ;
","2023-06-26","2023-09-19","rao@ohdsi.org","Appendicitis during Inpatient visit",,"Appendicitis during Inpatient visit","Accepted","3.11.0","events of appendicitis with an inpatient or ER visit with no events in 365 days clean window","#PhenotypePhebruary, #2023","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","Azza Shoaibi","","440448, 441604","","",,,,,,694,694
695,"[P][R] Optic nerve glioma",695,"cohortNameLong : Optic nerve glioma;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Optic nerve glioma. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 4112970;
ohdsiForumPost : ;
replaces : ;
","2023-06-26","2023-09-19","rao@ohdsi.org","Optic nerve glioma",,"Optic nerve glioma","Pending peer review","","all events of Optic nerve glioma. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","4112970","","",,,,,,695,695
696,"[P][R] Neurofibromatosis type 2",696,"cohortNameLong : Neurofibromatosis type 2;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Neurofibromatosis type 2. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 380975;
ohdsiForumPost : ;
replaces : ;
","2023-06-26","2023-09-19","rao@ohdsi.org","Neurofibromatosis type 2",,"Neurofibromatosis type 2","Pending peer review","","all events of Neurofibromatosis type 2. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","380975","","",,,,,,696,696
697,"[P][R] Neurofibromatosis type 1",697,"cohortNameLong : Neurofibromatosis type 1;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Neurofibromatosis type 1. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 377252;
ohdsiForumPost : ;
replaces : ;
","2023-06-26","2023-09-19","rao@ohdsi.org","Neurofibromatosis type 1",,"Neurofibromatosis type 1","Pending peer review","","all events of Neurofibromatosis type 1. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","377252","","",,,,,,697,697
698,"[P][R] Neurofibromatosis syndrome",698,"cohortNameLong : Neurofibromatosis syndrome;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Neurofibromatosis syndrome. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 376938;
ohdsiForumPost : ;
replaces : ;
","2023-06-26","2023-09-19","rao@ohdsi.org","Neurofibromatosis syndrome",,"Neurofibromatosis syndrome","Pending peer review","","all events of Neurofibromatosis syndrome. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","376938","","",,,,,,698,698
699,"[P][R] Major Depressive Disorder",699,"cohortNameLong : Major Depressive Disorder;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Major Depressive Disorder. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 4152280, 4282096;
ohdsiForumPost : ;
replaces : ;
","2023-06-26","2023-09-19","rao@ohdsi.org","Major Depressive Disorder",,"Major Depressive Disorder","Pending peer review","","all events of Major Depressive Disorder. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","4152280, 4282096","","",,,,,,699,699
701,"[P][R] Ascites",701,"cohortNameLong : Ascites;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Ascites. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 200528;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895;
replaces : ;
","2023-07-09","2023-09-19","rao@ohdsi.org","Ascites",,"Ascites","Pending peer review","","all events of Ascites. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","200528","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","",,,,,,701,701
702,"[P] Alanine aminotransferase (ALT) elevated",702,"cohortNameLong : Alanine aminotransferase (ALT) elevated;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : All events of Alanine aminotransferase (ALT) elevated;
hashTag : ;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 4146380;
ohdsiForumPost : ;
replaces : ;
","2023-07-11","2023-09-25","rao@ohdsi.org","Alanine aminotransferase (ALT) elevated",,"Alanine aminotransferase (ALT) elevated","Pending peer review","","All events of Alanine aminotransferase (ALT) elevated","","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","4146380","","",,,,,,702,702
703,"[P] Aspartate aminotransferase (AST) elevated",703,"cohortNameLong : Aspartate aminotransferase (AST) elevated;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : All events of Aspartate aminotransferase (ALT) elevated;
hashTag : ;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 4263457;
ohdsiForumPost : ;
replaces : ;
","2023-07-11","2023-09-25","rao@ohdsi.org","Aspartate aminotransferase (AST) elevated",,"Aspartate aminotransferase (AST) elevated","Pending peer review","","All events of Aspartate aminotransferase (ALT) elevated","","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","4263457","","",,,,,,703,703
705,"[P] Total Bilirubin elevated",705,"cohortNameLong : Total Bilirubin elevated;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : Total Bilirubin elevated;
hashTag : ;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 4230543;
ohdsiForumPost : ;
replaces : ;
","2023-07-11","2023-09-25","rao@ohdsi.org","Total Bilirubin elevated",,"Total Bilirubin elevated","Pending peer review","","Total Bilirubin elevated","","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","4230543","","",,,,,,705,705
706,"[P] Prothrombin time (PT) elevated",706,"cohortNameLong : Prothrombin time (PT) elevated;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : Prothrombin time (PT) elevated;
hashTag : ;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 4055672;
ohdsiForumPost : ;
replaces : ;
","2023-07-11","2023-09-25","rao@ohdsi.org","Prothrombin time (PT) elevated",,"Prothrombin time (PT) elevated","Pending peer review","","Prothrombin time (PT) elevated","","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","4055672","","",,,,,,706,706
707,"Inpatient Hospitalization (0Pe, 1Era)",707,"cohortNameLong : Inpatient Hospitalization (0Pe, 1Era);
librarian : rao@ohdsi.org;
status : Accepted;
addedVersion : 3.4.0;
logicDescription : All events of Inpatient visit. This cohort is deemed validated as it represents data convention and did not need to go thru peer review process;
hashTag : #standard, #Visits;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : ;
ohdsiForumPost : ;
replaces : 23;
","2023-07-12","2023-09-19","rao@ohdsi.org","Inpatient Hospitalization (0Pe, 1Era)",,"Inpatient Hospitalization (0Pe, 1Era)","Accepted","3.4.0","All events of Inpatient visit. This cohort is deemed validated as it represents data convention and did not need to go thru peer review process","#standard, #Visits","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","","","23",,,,,,707,707
708,"[P] International normalized ratio (INR) elevated",708,"cohortNameLong : International normalized ratio (INR);
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : International normalized ratio (INR);
hashTag : ;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 4306239;
ohdsiForumPost : ;
replaces : ;
","2023-07-14","2023-09-25","rao@ohdsi.org","International normalized ratio (INR) elevated",,"International normalized ratio (INR)","Pending peer review","","International normalized ratio (INR)","","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","4306239","","",,,,,,708,708
709,"[P][R] Chronic liver disease",709,"cohortNameLong : Chronic liver disease;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Chronic liver disease. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 4212540;
ohdsiForumPost : ;
replaces : ;
","2023-07-14","2023-09-19","rao@ohdsi.org","Chronic liver disease",,"Chronic liver disease","Pending peer review","","all events of Chronic liver disease. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","4212540","","",,,,,,709,709
710,"[P] Cirrhosis of liver or its sequela",710,"cohortNameLong : Cirrhosis of liver or its sequela;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Cirrhosis of liver or its sequela. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 4064161;
ohdsiForumPost : ;
replaces : ;
","2023-07-19","2023-09-25","rao@ohdsi.org","Cirrhosis of liver or its sequela",,"Cirrhosis of liver or its sequela","Pending peer review","","all events of Cirrhosis of liver or its sequela. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","4064161","","",,,,,,710,710
711,"[P][R] Transplanted liver present",711,"cohortNameLong : Transplanted liver present;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Transplanted liver present. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 42537742;
ohdsiForumPost : ;
replaces : ;
","2023-07-19","2023-09-19","rao@ohdsi.org","Transplanted liver present",,"Transplanted liver present","Pending peer review","","all events of Transplanted liver present. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","42537742","","",,,,,,711,711
712,"[P] Viral hepatitis including history of",712,"cohortNameLong : Viral hepatitis including history of;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : All events of Viral hepatitis including history of;
hashTag : ;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 4291005;
ohdsiForumPost : ;
replaces : ;
","2023-07-19","2023-09-25","rao@ohdsi.org","Viral hepatitis including history of",,"Viral hepatitis including history of","Pending peer review","","All events of Viral hepatitis including history of","","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","4291005","","",,,,,,712,712
713,"[P] Alcoholic hepatitis or alcohol liver disorder",713,"cohortNameLong : Alcoholic hepatitis or alcohol liver disorder;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Alcoholic hepatitis or alcohol liver disorder;
hashTag : ;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 4340383;
ohdsiForumPost : ;
replaces : ;
","2023-07-19","2023-09-25","rao@ohdsi.org","Alcoholic hepatitis or alcohol liver disorder",,"Alcoholic hepatitis or alcohol liver disorder","Pending peer review","","all events of Alcoholic hepatitis or alcohol liver disorder","","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","4340383","","",,,,,,713,713
